locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
2277,CARABAYLLO,Lima,PE,2021-08-15T20:00:00+00:00,2021-08-15T19:00:00-01:00,pm25,30.5,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T19:00:00+00:00,2021-08-15T18:00:00-01:00,pm25,50.55,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T19:00:00+00:00,2021-08-15T18:00:00-01:00,pm10,51.34,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T18:00:00+00:00,2021-08-15T17:00:00-01:00,pm10,66.7,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T18:00:00+00:00,2021-08-15T17:00:00-01:00,pm25,46.3,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T17:00:00+00:00,2021-08-15T16:00:00-01:00,pm25,52.03,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T17:00:00+00:00,2021-08-15T16:00:00-01:00,pm10,60.81,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T16:00:00+00:00,2021-08-15T15:00:00-01:00,pm10,53.24,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T16:00:00+00:00,2021-08-15T15:00:00-01:00,pm25,49.4,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T15:00:00+00:00,2021-08-15T14:00:00-01:00,pm25,22.38,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T15:00:00+00:00,2021-08-15T14:00:00-01:00,pm10,35.1,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T14:00:00+00:00,2021-08-15T13:00:00-01:00,pm10,34.14,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T14:00:00+00:00,2021-08-15T13:00:00-01:00,pm25,16.4,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T13:00:00+00:00,2021-08-15T12:00:00-01:00,pm25,13.08,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T13:00:00+00:00,2021-08-15T12:00:00-01:00,pm10,26.66,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T12:00:00+00:00,2021-08-15T11:00:00-01:00,pm10,18.5,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T12:00:00+00:00,2021-08-15T11:00:00-01:00,pm25,20.98,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T11:00:00+00:00,2021-08-15T10:00:00-01:00,pm25,27.64,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T11:00:00+00:00,2021-08-15T10:00:00-01:00,pm10,27.94,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T10:00:00+00:00,2021-08-15T09:00:00-01:00,pm10,22.55,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T10:00:00+00:00,2021-08-15T09:00:00-01:00,pm25,23.31,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T09:00:00+00:00,2021-08-15T08:00:00-01:00,pm25,33.59,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T09:00:00+00:00,2021-08-15T08:00:00-01:00,pm10,22.1,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T08:00:00+00:00,2021-08-15T07:00:00-01:00,pm10,44.17,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T08:00:00+00:00,2021-08-15T07:00:00-01:00,pm25,41.11,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T07:00:00+00:00,2021-08-15T06:00:00-01:00,pm25,37.13,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T07:00:00+00:00,2021-08-15T06:00:00-01:00,pm10,40.28,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T06:00:00+00:00,2021-08-15T05:00:00-01:00,pm10,57.51,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T06:00:00+00:00,2021-08-15T05:00:00-01:00,pm25,52.48,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T05:00:00+00:00,2021-08-15T04:00:00-01:00,pm25,60.84,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T05:00:00+00:00,2021-08-15T04:00:00-01:00,pm10,70.89,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T04:00:00+00:00,2021-08-15T03:00:00-01:00,pm10,88.9,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T04:00:00+00:00,2021-08-15T03:00:00-01:00,pm25,55.11,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T03:00:00+00:00,2021-08-15T02:00:00-01:00,pm25,34.74,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T03:00:00+00:00,2021-08-15T02:00:00-01:00,pm10,85,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T02:00:00+00:00,2021-08-15T01:00:00-01:00,pm10,58.71,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T02:00:00+00:00,2021-08-15T01:00:00-01:00,pm25,20.24,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T01:00:00+00:00,2021-08-15T00:00:00-01:00,pm25,13.05,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T01:00:00+00:00,2021-08-15T00:00:00-01:00,pm10,64.91,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T00:00:00+00:00,2021-08-14T23:00:00-01:00,pm10,57.29,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T00:00:00+00:00,2021-08-14T23:00:00-01:00,pm25,19.44,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-14T23:00:00+00:00,2021-08-14T22:00:00-01:00,pm25,20.11,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-14T23:00:00+00:00,2021-08-14T22:00:00-01:00,pm10,72.85,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-14T22:00:00+00:00,2021-08-14T21:00:00-01:00,pm10,52.17,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-14T22:00:00+00:00,2021-08-14T21:00:00-01:00,pm25,20.36,µg/m³,-11.902194,-77.033639
